CLCLIE;CLNOM;CLPTT
AG022;AGENCY AND FACTOR INTERN.;06600
AG023;AG3I;06130
AG024;AGENCEMENTS SERVICES MENUIS;83140
AG025;AGENCEMENT EBENISTERIE LABHAR;13821
AG026;AGB FERMETURE;06340
AG027;AGENCY & FACTOR INTERNATIONAL;06600
AG028;AGCM;06000
AG029;AGROPARISTECH;34093
AG030;AG RENOV NISSA;06100
AG031;AGENCEMENT METAL;13007
AG032;AGAFPA;13850
AG033;AG BATIMENT;13013
AG034;AGENCEMENT BS;13012
AG035;SA AGB;95870
AG036;AGEBAP;20167
AG037;AGILYSTAR;78190
AG038;AGETECH;13011
AI002;AIMER FER SARL;06100
AI003;AIX ALUMINIUM RENOVATION;13100
AI004;AIGLON MIROITERIE;06300
AI005;AITEC EVOLUTION;06000
AI006;SERRURERIE AIRIAU DIDIER;13600
AI008;AIRE SARL;34880
AI009;AITIER S.A.R.L;13016
AI010;SA QUINCAILLERIE D'AIX;13593
AI015;AIR C2;93100
AI016;SARL AIX CLOTURES;13710
AI017;AIX STORE PROVENCE;13290
AI018;A.I.P.S;13001
AI019;AIX HYGIENE MULTI SERVICES;13100
AI020;AIX MIGNET SERVICES;13100
AI021;AIKO ECO;13821
AI022;AIX BLANC ENTREPRISE;13320
AI023;ADIELEC;20224
AI024;AIM ELECTRONIQUE;77184
AJ003;AJC MENUISERIES;30100
AJ004;AJ VITE;13590
AJ006;AJC STORES;13013
AJ007;AJT STORES;13013
AJ008;AJACCIO ALU SARL;20167
AJ009;AJ CONSTRUCTION;13127
AJ010;AJ FERMETURE CONCEPT;06300
AK003;AKOL FERMETURES SARL;13003
AK004;AKOL DEPANNAGES;13006
AK005;AKAR PLAST;83370
AK006;AKOL SERVICES;13003
AK007;AKAY MENUISERIE;13016
AL001;ALQUIER S.A.;83870
AL002;ALVER;34730
AL004;ALU B DESIGN;13016
AL005;ALUVER;83078
AL007;ALU METAL DECORATION;13127
AL008;ALU SERVICE;20167
AL009;ALS ENTREPRISE;13013
AL010;270 RUE LEON JOULIN;83488
AL012;ALU METALLERIE;83400
AL013;ALU VAUCLUSE;84210
AL014;ALL SERVICES SARL;13004
AL015;ALOHA BAIE CONCEPT;13013
AL017;ALU CONFORT ET TRADITION;34740
AL018;ALUMINIUM INDUSTRIE MEOZZI;13113
AL019;ALLAUCH BERTONE SCES;13190
AL020;ALUCONFORT SARL;83140
AL021;ALUSTYLE;34880
AL022;ALCALUX;13770
AL026;ALUCA;13180
AL027;ALLO FIX ACTION;13870
AL030;ALARY;34300
AL031;ALU BAIE;13012
AL032;ALPHA BRAVO;97122
AL034;ALU SYSTEMS;30900
AL036;ALPHA BAT;13008
AL037;ALU PIERMAY;83260
AL038;ALU PRO DESIGN;13010
AL040;ALU MVM;20260
AL042;ALU GLASS DECO;06800
AL043;ALU DU MIDI;83140
AL044;ALLIANCE TECHNOLOGIE SECURITE;34500
AL045;ALOTRA;13004
AL048;ALU MD FERMETURES;13014
AL049;ALEHAUSE ELECTRICITE SARL;83210
AL050;ALMANSA MENUISERIE;13012
AL051;ALU SERVICE SAS;20137
AL052;SARL LUSTORE;04000
AL056;ALPHABIO LABORATOIRE;13821
AL057;ALUTEC SASU;20137
AL058;EIRL GUERIN ALEXANDRE;83480
AL059;ALU GLACE SERVICE SARL;06000
AL060;ALOSSI MIROITERIE;06700
AL065;ALUSTORE;06130
AL067;ALU VIDEMO;06700
AL068;ALAMO;06230
AL069;ALPES AZUR SERVICES SARL;06200
AL070;ALUPROD SAS;84330
AL071;ALIZE SARL;83470
AL072;ALEXANDRE MIROITERIE;06100
